https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1631419200000,2021-09-12 04:00:00,1INCH/USD,2.921,3.1097,2.8147,2.8147,92793.38229576,261185.5331478757
1631332800000,2021-09-11 04:00:00,1INCH/USD,2.8523,3.0242,2.8296,2.921,33031.18287721,96484.0851843304
1631246400000,2021-09-10 04:00:00,1INCH/USD,3.1386,3.1386,2.7369,2.8523,251149.16291549,716352.7573838521
1631160000000,2021-09-09 04:00:00,1INCH/USD,2.9004,3.2007,2.9004,3.1386,104902.29450795,329246.3415426519
1631073600000,2021-09-08 04:00:00,1INCH/USD,2.8778,3.0145,2.8323,2.9004,108539.66811888,314808.4534119995
1630987200000,2021-09-07 04:00:00,1INCH/USD,3.6735,3.7346,2.59,2.8778,251653.86262625,724209.4858658223
1630900800000,2021-09-06 04:00:00,1INCH/USD,3.8244,3.9644,3.5506,3.6735,68368.34192754,251151.10407081817
1630814400000,2021-09-05 04:00:00,1INCH/USD,3.6885,4.0109,3.6885,3.8244,141428.94566067,540880.8597846663
1630728000000,2021-09-04 04:00:00,1INCH/USD,3.5379,3.7785,3.5025,3.6885,105678.00168901,389793.30922991334
1630641600000,2021-09-03 04:00:00,1INCH/USD,3.386,3.6774,3.3106,3.5379,72038.03917375,254863.37879281014
1630555200000,2021-09-02 04:00:00,1INCH/USD,3.3287,3.4371,3.2738,3.386,37870.4295982,128229.27461950519
1630468800000,2021-09-01 04:00:00,1INCH/USD,3.0909,3.3882,3.0909,3.3287,74122.58364198,246731.84416905884
1630382400000,2021-08-31 04:00:00,1INCH/USD,3.1058,3.206,2.983,3.0909,87503.4343605,270464.36526486947
1630296000000,2021-08-30 04:00:00,1INCH/USD,3.0808,3.1682,2.9481,3.1058,46947.46457178,145809.43546703432
1630209600000,2021-08-29 04:00:00,1INCH/USD,3.14,3.2101,3.0665,3.0808,49856.825843,153598.9090571144
1630123200000,2021-08-28 04:00:00,1INCH/USD,3.2739,3.356,3.125,3.14,67288.99551976,211287.44593204642
1630036800000,2021-08-27 04:00:00,1INCH/USD,2.8782,3.279,2.8417,3.2739,83513.40323583,273414.5308537838
1629950400000,2021-08-26 04:00:00,1INCH/USD,3.01,3.0473,2.85,2.8782,32635.28517967,93930.8778041262
1629864000000,2021-08-25 04:00:00,1INCH/USD,3.1175,3.2121,3.003,3.01,29097.15067503,87582.4235318403
1629777600000,2021-08-24 04:00:00,1INCH/USD,3.4315,3.4993,3.03,3.1175,57387.8661887,178906.67284327224
1629691200000,2021-08-23 04:00:00,1INCH/USD,3.4547,3.4847,3.3291,3.4315,51593.10709326,177041.7469905217
1629604800000,2021-08-22 04:00:00,1INCH/USD,3.457,3.4905,3.27,3.4547,32601.61132942,112628.78665974727
1629518400000,2021-08-21 04:00:00,1INCH/USD,3.4378,3.5352,3.3533,3.457,29510.87773929,102019.10434472554
1629432000000,2021-08-20 04:00:00,1INCH/USD,3.3879,3.6107,3.3768,3.4378,77095.53633371,265039.03480802826
1629345600000,2021-08-19 04:00:00,1INCH/USD,3.1897,3.4945,3.1693,3.3879,56671.15854205,191996.21802461118
1629259200000,2021-08-18 04:00:00,1INCH/USD,3.0554,3.2759,3.04,3.1897,70474.98783462,224794.06869608743
1629172800000,2021-08-17 04:00:00,1INCH/USD,3.1176,3.3836,2.95,3.0554,68695.3050673,209891.6351026284
1629086400000,2021-08-16 04:00:00,1INCH/USD,3.0287,3.2839,2.9727,3.1176,87873.07262631,273953.09121978405
1629000000000,2021-08-15 04:00:00,1INCH/USD,3.0532,3.1163,2.9074,3.0287,33762.3724534,102256.09744961259
1628913600000,2021-08-14 04:00:00,1INCH/USD,3.0709,3.1141,2.92,3.0532,30348.38159908,92659.67869831105
1628827200000,2021-08-13 04:00:00,1INCH/USD,2.8882,3.091,2.8671,3.0709,67338.17717194,206788.80827731054
1628740800000,2021-08-12 04:00:00,1INCH/USD,3.0058,3.0254,2.7145,2.8882,58933.65764286,170212.19000410824
1628654400000,2021-08-11 04:00:00,1INCH/USD,2.8318,3.1011,2.8318,3.0058,199777.56125773,600491.3936284848
1628568000000,2021-08-10 04:00:00,1INCH/USD,2.739,2.8668,2.6773,2.8318,81067.17808195,229566.034892466
1628481600000,2021-08-09 04:00:00,1INCH/USD,2.4604,2.8276,2.4362,2.739,145630.15205622,398880.98648198653
1628395200000,2021-08-08 04:00:00,1INCH/USD,2.5999,2.6556,2.4036,2.4604,49292.58079236,121279.46578152254
1628308800000,2021-08-07 04:00:00,1INCH/USD,2.5873,2.7181,2.5484,2.5999,51389.711102,133608.1098940898
1628222400000,2021-08-06 04:00:00,1INCH/USD,2.3808,2.591,2.3603,2.5873,35778.5234978,92569.77384585794
