https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD
1641182400000,2022-01-03 04:00:00,ENJ/USD,2.8651,2.9497,2.6666,2.7243,97931.770999,266795.5237325757
1641096000000,2022-01-02 04:00:00,ENJ/USD,2.7163,2.9264,2.6676,2.8651,219429.309771,628686.9154248921
1641009600000,2022-01-01 04:00:00,ENJ/USD,2.5908,2.7864,2.5726,2.7163,105901.852433,287661.20176375785
1640923200000,2021-12-31 04:00:00,ENJ/USD,2.6258,2.739,2.5259,2.5908,121437.639018,314620.6351678344
1640836800000,2021-12-30 04:00:00,ENJ/USD,2.5574,2.7467,2.5574,2.6258,94233.929218,247439.4513406244
1640750400000,2021-12-29 04:00:00,ENJ/USD,2.8196,2.8291,2.5559,2.5574,127956.606009,327236.2242074166
1640664000000,2021-12-28 04:00:00,ENJ/USD,2.8968,3.007,2.7173,2.8196,161533.141485,455458.845731106
1640577600000,2021-12-27 04:00:00,ENJ/USD,3.206,3.2511,2.8582,2.8968,164867.243548,477587.4311098464
1640491200000,2021-12-26 04:00:00,ENJ/USD,3.0355,3.3411,3.0197,3.206,239332.465287,767299.883710122
1640404800000,2021-12-25 04:00:00,ENJ/USD,2.843,3.2746,2.8405,3.0355,184958.554634,561441.692591507
1640318400000,2021-12-24 04:00:00,ENJ/USD,2.9115,2.96,2.7523,2.843,158023.592775,449261.074259325
1640232000000,2021-12-23 04:00:00,ENJ/USD,2.6637,2.9793,2.5666,2.9115,191054.038601,556253.8333868115
1640145600000,2021-12-22 04:00:00,ENJ/USD,2.4821,2.67,2.4821,2.6637,60024.259308,159886.61951871958
1640059200000,2021-12-21 04:00:00,ENJ/USD,2.3082,2.5123,2.3082,2.4821,131738.373846,326987.8177231566
1639972800000,2021-12-20 04:00:00,ENJ/USD,2.3288,2.3716,2.1661,2.3082,140587.259575,324503.512551015
1639886400000,2021-12-19 04:00:00,ENJ/USD,2.4589,2.4691,2.292,2.3288,52917.484346,123234.23754496481
1639800000000,2021-12-18 04:00:00,ENJ/USD,2.327,2.4915,2.2968,2.4589,84617.735569,208066.5499906141
1639713600000,2021-12-17 04:00:00,ENJ/USD,2.4132,2.4382,2.2122,2.327,101332.701627,235801.196686029
1639627200000,2021-12-16 04:00:00,ENJ/USD,2.5041,2.5041,2.3622,2.4132,23302.139341,56232.72265770119
1639540800000,2021-12-15 04:00:00,ENJ/USD,2.3475,2.5545,2.1925,2.5041,222024.069417,555970.4722271097
1639454400000,2021-12-14 04:00:00,ENJ/USD,2.3316,2.3887,2.2403,2.3475,167495.12068,393194.7957963
1639368000000,2021-12-13 04:00:00,ENJ/USD,2.612,2.6387,2.2627,2.3316,193564.667609,451315.37899714435
1639281600000,2021-12-12 04:00:00,ENJ/USD,2.605,2.7588,2.5348,2.612,129052.920826,337086.22919751203
1639195200000,2021-12-11 04:00:00,ENJ/USD,2.4576,2.6053,2.4494,2.605,73621.310717,191783.514417785
1639108800000,2021-12-10 04:00:00,ENJ/USD,2.6013,2.6589,2.36,2.4576,111904.799297,275017.2347523072
1639022400000,2021-12-09 04:00:00,ENJ/USD,2.8,2.8,2.55,2.6013,82289.856915,214060.6047929895
1638936000000,2021-12-08 04:00:00,ENJ/USD,2.7389,2.9258,2.638,2.8,141296.727685,395630.8375179999
1638849600000,2021-12-07 04:00:00,ENJ/USD,2.794,3.0066,2.7219,2.7389,275833.559774,755480.5368650086
1638763200000,2021-12-06 04:00:00,ENJ/USD,2.6432,2.9288,2.373,2.794,342493.396404,956926.549552776
1638676800000,2021-12-05 04:00:00,ENJ/USD,3.0077,3.1346,2.538,2.6432,474050.43963,1253010.122030016
1638590400000,2021-12-04 04:00:00,ENJ/USD,2.856,3.1003,2.0971,3.0077,721385.833572,2169712.1716345046
1638504000000,2021-12-03 04:00:00,ENJ/USD,3.3182,3.439,2.856,2.856,297336.143039,849192.0245193839
1638417600000,2021-12-02 04:00:00,ENJ/USD,3.348,3.5,3.2816,3.3182,82428.148906,273513.0836998892
1638331200000,2021-12-01 04:00:00,ENJ/USD,3.5601,3.7643,3.28,3.348,177033.95331582,592709.6757013653
1638244800000,2021-11-30 04:00:00,ENJ/USD,3.5901,3.7683,3.4787,3.5601,235230.15387408,837442.8708071121
1638158400000,2021-11-29 04:00:00,ENJ/USD,3.7997,3.9135,3.5198,3.5901,209019.01969179,750399.1825954953
1638072000000,2021-11-28 04:00:00,ENJ/USD,3.3728,3.9348,3.2924,3.7997,265994.62101934,1010699.7614871862
1637985600000,2021-11-27 04:00:00,ENJ/USD,3.7864,3.868,3.3293,3.3728,278805.2413524,940354.3180333746
1637899200000,2021-11-26 04:00:00,ENJ/USD,4.1033,4.1829,3.5671,3.7864,463141.31695356,1753638.2825129596
1637812800000,2021-11-25 04:00:00,ENJ/USD,4.243,4.85,4.0353,4.1033,506629.26283886,2078851.854206694
1637726400000,2021-11-24 04:00:00,ENJ/USD,3.9001,4.73,3.9001,4.243,1078562.89715356,4576342.372622556
1637640000000,2021-11-23 04:00:00,ENJ/USD,3.5009,4.1601,3.4891,3.9001,718320.19879629,2801520.6073254105
1637553600000,2021-11-22 04:00:00,ENJ/USD,3.2811,3.6241,3.15,3.5009,371507.21190167,1300609.5981465564
1637467200000,2021-11-21 04:00:00,ENJ/USD,3.5055,3.576,3.2326,3.2811,200157.92038316,656738.1525691863
1637380800000,2021-11-20 04:00:00,ENJ/USD,3.4745,3.91,3.4649,3.5055,354482.18112333,1242637.2859278335
1637294400000,2021-11-19 04:00:00,ENJ/USD,3.204,3.8,3.0553,3.4745,672867.72935161,2337878.9256321685
1637208000000,2021-11-18 04:00:00,ENJ/USD,2.9654,3.36,2.7469,3.204,472802.81035454,1514860.2043759462
1637121600000,2021-11-17 04:00:00,ENJ/USD,2.8387,3.0641,2.8117,2.9654,143645.09804376,425965.1737389659
1637035200000,2021-11-16 04:00:00,ENJ/USD,2.7911,3.09,2.5577,2.8387,348032.84199335,987960.8285665226
1636948800000,2021-11-15 04:00:00,ENJ/USD,3.1651,3.219,2.7562,2.7911,187369.92748621,522968.2046067608
1636862400000,2021-11-14 04:00:00,ENJ/USD,3.0258,3.2471,2.9351,3.1651,166991.47838639,528544.728240763
1636776000000,2021-11-13 04:00:00,ENJ/USD,3.1301,3.2767,3.003,3.0258,224415.06452732,679035.1022467648
1636689600000,2021-11-12 04:00:00,ENJ/USD,3.0992,3.2349,3.0133,3.1301,172352.4215271,539480.3146219758
1636603200000,2021-11-11 04:00:00,ENJ/USD,2.8821,3.142,2.8769,3.0992,184075.46059016,570486.6674610239
1636516800000,2021-11-10 04:00:00,ENJ/USD,3.0543,3.1926,2.66,2.8821,298004.68323884,858879.2975626608
1636430400000,2021-11-09 04:00:00,ENJ/USD,3.1176,3.1527,2.9542,3.0543,315643.80937792,964070.8869829811
1636344000000,2021-11-08 04:00:00,ENJ/USD,3.2178,3.3,3.099,3.1176,423147.7818817,1319205.5247943879
1636257600000,2021-11-07 04:00:00,ENJ/USD,3.4684,3.4845,3.125,3.2178,435562.59780506,1401553.327217122
