https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1638676800000,2021-12-05 04:00:00,MANA/USD,3.93,4.01578,3.45094,3.58869,1033141.27849116,3707623.774708441
1638590400000,2021-12-04 04:00:00,MANA/USD,3.64712,4.23006,2.72942,3.93,2797758.17218303,10995189.616679307
1638504000000,2021-12-03 04:00:00,MANA/USD,4.23149,4.37012,3.64,3.64712,1007736.29912485,3675335.211264223
1638417600000,2021-12-02 04:00:00,MANA/USD,4.305,4.53107,4.22,4.23149,1260440.10738407,5333539.709994619
1638331200000,2021-12-01 04:00:00,MANA/USD,4.57731,4.8196,4.20795,4.305,1187421.11882016,5111847.916520788
1638244800000,2021-11-30 04:00:00,MANA/USD,4.7044,4.81292,4.49695,4.57731,1374118.94350746,6289768.381306131
1638158400000,2021-11-29 04:00:00,MANA/USD,5.07585,5.19387,4.57064,4.7044,1074307.65704317,5053972.941793889
1638072000000,2021-11-28 04:00:00,MANA/USD,4.40073,5.23733,4.32616,5.07585,1076398.82951354,5463638.998786302
1637985600000,2021-11-27 04:00:00,MANA/USD,4.67303,4.92798,4.29,4.40073,1419502.46287442,6246847.073445346
1637899200000,2021-11-26 04:00:00,MANA/USD,5.05698,5.19131,4.35586,4.67303,1887258.91102134,8819217.508970052
1637812800000,2021-11-25 04:00:00,MANA/USD,4.84958,5.91038,4.75001,5.05698,2344112.08971078,11854127.95542562
1637726400000,2021-11-24 04:00:00,MANA/USD,4.21839,5.5223,4.21803,4.84958,5003694.42697796,24265816.419183776
1637640000000,2021-11-23 04:00:00,MANA/USD,3.96398,4.39392,3.9287,4.21839,3202060.34115071,13507539.322506744
1637553600000,2021-11-22 04:00:00,MANA/USD,3.64497,4.26405,3.53345,3.96398,2049338.28963454,8123535.993345523
1637467200000,2021-11-21 04:00:00,MANA/USD,3.88025,3.94099,3.53432,3.64497,1388658.29148577,5061617.812716886
1637380800000,2021-11-20 04:00:00,MANA/USD,4.0563,4.11888,3.83459,3.88025,899715.61574646,3491121.518000202
1637294400000,2021-11-19 04:00:00,MANA/USD,4.18649,4.37,3.86399,4.0563,1853982.95203993,7520311.048359568
1637208000000,2021-11-18 04:00:00,MANA/USD,3.43573,4.32373,3.31396,4.18649,3057720.84433474,12801117.737598946
1637121600000,2021-11-17 04:00:00,MANA/USD,3.25301,3.49409,3.1212,3.43573,1188878.40041397,4084665.1866542893
1637035200000,2021-11-16 04:00:00,MANA/USD,3.027,3.52435,2.75,3.25301,3681622.59852476,11976355.129227031
1636948800000,2021-11-15 04:00:00,MANA/USD,3.38029,3.45844,2.94,3.027,1635134.87285483,4949553.2601315705
1636862400000,2021-11-14 04:00:00,MANA/USD,3.23301,3.50707,3.1,3.38029,1125274.50138273,3803754.1442790283
1636776000000,2021-11-13 04:00:00,MANA/USD,3.64202,3.80478,3.12843,3.23301,1746996.66459057,5648057.686587959
1636689600000,2021-11-12 04:00:00,MANA/USD,3.02186,3.80596,3.02186,3.64202,1724557.62085092,6280873.346291468
1636603200000,2021-11-11 04:00:00,MANA/USD,2.53501,3.14909,2.43185,3.02186,2950753.49329201,8916763.951239394
1636516800000,2021-11-10 04:00:00,MANA/USD,2.71856,2.8771,2.2,2.53501,1644733.54465792,4169415.9830432744
1636430400000,2021-11-09 04:00:00,MANA/USD,2.62585,2.77,2.51,2.71856,1023439.4335818,2782281.5065581384
1636344000000,2021-11-08 04:00:00,MANA/USD,2.75602,2.7798,2.60679,2.62585,844593.33879123,2217775.418664951
1636257600000,2021-11-07 04:00:00,MANA/USD,2.78215,2.9849,2.72362,2.75602,1229418.59148879,3388302.226514935
1636171200000,2021-11-06 04:00:00,MANA/USD,2.94531,3.07366,2.75723,2.78215,3136984.34016931,8727560.982002046
