https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USD
1636776000000,2021-11-13 04:00:00,COMP/USD,330.95,360.0,328.28,355.37,1073.69928336,381560.5143276432
1636689600000,2021-11-12 04:00:00,COMP/USD,333.52,334.34,324.53,330.95,387.39192155,128207.35643697249
1636603200000,2021-11-11 04:00:00,COMP/USD,328.19,343.97,325.99,333.52,2387.37524628,796237.3921393055
1636516800000,2021-11-10 04:00:00,COMP/USD,353.15,363.48,308.0,328.19,4319.03356703,1417463.6263635757
1636430400000,2021-11-09 04:00:00,COMP/USD,361.66,370.97,351.9,353.15,1309.31572612,462384.84867927793
1636344000000,2021-11-08 04:00:00,COMP/USD,356.06,363.67,352.56,361.66,964.12413615,348685.13508000906
1636257600000,2021-11-07 04:00:00,COMP/USD,355.18,368.35,351.75,356.06,923.95363771,328982.9322430226
1636171200000,2021-11-06 04:00:00,COMP/USD,353.09,358.13,335.73,355.18,1195.74176828,424703.5612576904
1636084800000,2021-11-05 04:00:00,COMP/USD,364.45,376.98,350.63,353.09,1256.70677763,443730.59611337667
1635998400000,2021-11-04 04:00:00,COMP/USD,384.82,384.82,357.38,364.45,685.26300265,249744.10131579248
1635912000000,2021-11-03 04:00:00,COMP/USD,357.78,399.99,350.63,384.82,6978.44624793,2685445.6851284225
1635825600000,2021-11-02 04:00:00,COMP/USD,359.17,376.41,353.11,357.78,2143.69910525,766972.6658763449
1635739200000,2021-11-01 04:00:00,COMP/USD,328.11,369.07,325.77,359.17,3245.87165811,1165819.723443369
1635652800000,2021-10-31 04:00:00,COMP/USD,323.86,358.31,321.21,328.11,3201.10090711,1050313.2186318622
1635566400000,2021-10-30 04:00:00,COMP/USD,320.97,326.8,316.2,323.86,602.21131088,195032.15514159683
1635480000000,2021-10-29 04:00:00,COMP/USD,324.0,332.1,311.98,320.97,1607.02464931,515806.7016890308
1635393600000,2021-10-28 04:00:00,COMP/USD,308.95,324.33,304.46,324.0,1405.97598333,455536.21859892
1635307200000,2021-10-27 04:00:00,COMP/USD,343.2,343.2,300.71,308.95,184.434474,56981.0307423
1635220800000,2021-10-26 04:00:00,COMP/USD,342.41,360.38,335.21,343.2,2081.58706656,714400.6812433919
1635134400000,2021-10-25 04:00:00,COMP/USD,312.37,349.63,311.59,342.41,1829.55004408,626456.2305934328
1635048000000,2021-10-24 04:00:00,COMP/USD,312.15,316.54,301.38,312.37,786.49728573,245678.15714348012
1634961600000,2021-10-23 04:00:00,COMP/USD,314.88,318.15,306.55,312.15,1030.1360764,321556.97624826
1634875200000,2021-10-22 04:00:00,COMP/USD,323.8,328.58,312.0,314.88,863.85013506,272009.1305276928
1634788800000,2021-10-21 04:00:00,COMP/USD,324.53,335.18,311.13,323.8,1595.69029088,516684.51618694403
1634702400000,2021-10-20 04:00:00,COMP/USD,305.16,333.0,305.16,324.53,522.38405787,169529.29830055108
1634616000000,2021-10-19 04:00:00,COMP/USD,309.91,310.1,300.85,305.16,714.76913685,218118.94980114602
1634529600000,2021-10-18 04:00:00,COMP/USD,308.32,309.91,299.01,309.91,960.63385832,297710.0390319512
1634443200000,2021-10-17 04:00:00,COMP/USD,318.84,322.9,300.86,308.32,1529.012088,471425.00697215996
1634356800000,2021-10-16 04:00:00,COMP/USD,316.19,330.32,311.13,318.84,1322.05541717,421524.1492104828
1634270400000,2021-10-15 04:00:00,COMP/USD,311.82,324.72,300.26,316.19,1221.31679816,386168.1584102104
1634184000000,2021-10-14 04:00:00,COMP/USD,309.09,313.92,306.65,311.82,150.67148729,46982.383166767795
1634097600000,2021-10-13 04:00:00,COMP/USD,305.98,309.57,295.47,309.09,899.75876139,278106.4355580351
1634011200000,2021-10-12 04:00:00,COMP/USD,293.45,309.1,287.91,305.98,863.09872075,264090.946575085
1633924800000,2021-10-11 04:00:00,COMP/USD,311.75,312.43,291.7,293.45,640.65138322,187999.14840590899
1633838400000,2021-10-10 04:00:00,COMP/USD,322.55,328.08,299.0,311.75,414.33592483,129169.2245657525
1633752000000,2021-10-09 04:00:00,COMP/USD,318.84,334.44,315.53,322.55,1369.79138724,441826.211954262
1633665600000,2021-10-08 04:00:00,COMP/USD,317.74,335.01,310.5,318.84,1548.78928563,493815.97583026916
1633579200000,2021-10-07 04:00:00,COMP/USD,301.55,325.8,301.39,317.74,1429.55151665,454225.698900371
1633492800000,2021-10-06 04:00:00,COMP/USD,307.46,314.12,297.47,301.55,724.84469175,218576.91679721253
1633406400000,2021-10-05 04:00:00,COMP/USD,305.22,316.47,303.48,307.46,1609.11159314,494737.45042682433
1633320000000,2021-10-04 04:00:00,COMP/USD,313.7,324.94,304.81,305.22,2048.11505558,625125.6772641276
1633233600000,2021-10-03 04:00:00,COMP/USD,344.91,344.91,312.7,313.7,1913.31254354,600206.1449084979
1633147200000,2021-10-02 04:00:00,COMP/USD,320.81,351.25,318.03,344.91,3855.99197374,1329970.1916626636
1633060800000,2021-10-01 04:00:00,COMP/USD,310.66,329.63,309.86,320.81,2411.47556511,773625.4760429391
1632974400000,2021-09-30 04:00:00,COMP/USD,300.46,319.46,291.7,310.66,3135.45713883,974061.1147489279
1632888000000,2021-09-29 04:00:00,COMP/USD,328.99,333.09,280.0,300.46,4544.42886944,1365419.0981119424
1632801600000,2021-09-28 04:00:00,COMP/USD,338.64,342.32,318.59,328.99,864.11762896,284286.05875155044
1632715200000,2021-09-27 04:00:00,COMP/USD,356.47,374.69,333.02,338.64,2640.75610084,894265.6459884575
1632628800000,2021-09-26 04:00:00,COMP/USD,322.8,365.01,310.02,356.47,2466.01801529,879061.4419104265
1632542400000,2021-09-25 04:00:00,COMP/USD,344.01,345.83,319.82,322.8,286.96065502,92630.899440456
1632456000000,2021-09-24 04:00:00,COMP/USD,363.99,370.23,317.97,344.01,2043.89839511,703121.4869017911
1632369600000,2021-09-23 04:00:00,COMP/USD,351.76,375.87,338.09,363.99,981.02634135,357083.7779879865
1632283200000,2021-09-22 04:00:00,COMP/USD,322.3,351.76,322.3,351.76,1205.55596909,424066.3676870984
1632196800000,2021-09-21 04:00:00,COMP/USD,338.3,349.33,303.15,322.3,1863.47881542,600599.222209866
1632110400000,2021-09-20 04:00:00,COMP/USD,376.18,380.68,317.57,338.3,1945.44718734,658144.7834771221
1632024000000,2021-09-19 04:00:00,COMP/USD,396.47,402.2,369.69,376.18,754.37451152,283780.6037435936
1631937600000,2021-09-18 04:00:00,COMP/USD,403.16,416.2,395.49,396.47,346.6634482,137441.657307854
1631851200000,2021-09-17 04:00:00,COMP/USD,426.69,427.43,392.78,403.16,1094.60768004,441302.03228492645
1631764800000,2021-09-16 04:00:00,COMP/USD,433.4,458.29,415.0,426.69,1692.66405887,722242.8272792402
1631678400000,2021-09-15 04:00:00,COMP/USD,435.1,450.0,426.56,433.4,1829.82269169,793045.154578446
1631592000000,2021-09-14 04:00:00,COMP/USD,386.06,450.39,380.89,435.1,4768.45629471,2074755.3338283212
1631505600000,2021-09-13 04:00:00,COMP/USD,385.0,392.25,362.94,386.06,1494.10221215,576813.100022629
1631419200000,2021-09-12 04:00:00,COMP/USD,398.72,413.61,385.0,385.0,883.83774302,340277.53106269997
1631332800000,2021-09-11 04:00:00,COMP/USD,393.86,407.69,388.49,398.72,652.86342084,260309.7031573248
1631246400000,2021-09-10 04:00:00,COMP/USD,420.5,425.08,384.11,393.86,2409.80781963,949126.9078394717
1631160000000,2021-09-09 04:00:00,COMP/USD,404.74,427.81,403.95,420.5,986.48660502,414817.61741090997
1631073600000,2021-09-08 04:00:00,COMP/USD,415.63,417.73,398.07,404.74,1126.15620877,455800.46393756976
1630987200000,2021-09-07 04:00:00,COMP/USD,500.33,510.39,352.28,415.63,7598.66647501,3158233.747008406
1630900800000,2021-09-06 04:00:00,COMP/USD,497.05,528.91,475.0,500.33,2181.28022766,1091359.9363051278
1630814400000,2021-09-05 04:00:00,COMP/USD,477.62,524.99,471.36,497.05,2510.67083076,1247928.9364292582
1630728000000,2021-09-04 04:00:00,COMP/USD,470.25,482.98,463.02,477.62,1700.17516559,812037.6625890958
